Date,Rate
1990-01-01,
1990-01-02,1.2730744748567793
1990-01-03,1.2790995139421846
1990-01-04,1.271132579128003
1990-01-05,1.272264631043257
1990-01-08,1.274047649382087
1990-01-09,1.2712941774726672
1990-01-10,1.26806999746386
1990-01-11,1.2642225031605563
1990-01-12,1.2596044841919636
1990-01-15,
1990-01-16,1.266784899923993
1990-01-17,1.2631047113805736
1990-01-18,1.259287243420224
1990-01-19,1.260239445494644
1990-01-22,1.2572290671360322
1990-01-23,1.2901561088891755
1990-01-24,1.311991603253739
1990-01-25,1.3187392852433075
1990-01-26,1.314924391847469
1990-01-29,1.309757694826457
1990-01-30,1.3054830287206267
1990-01-31,1.3012361743656475
1990-02-01,1.2983640612827838
1990-02-02,1.292824822236587
1990-02-05,1.3063357282821686
1990-02-06,1.3046314416177431
1990-02-07,1.3201320132013201
1990-02-08,1.3253810470510272
1990-02-09,1.3345789403443213
1990-02-12,1.3296104241457254
1990-02-13,1.3296104241457254
1990-02-14,1.341021858656296
1990-02-15,1.3333333333333333
1990-02-16,1.3215276860050218
1990-02-19,
1990-02-20,1.316655694535879
1990-02-21,1.3182177695755337
1990-02-22,1.3078733978550878
1990-02-23,1.3068478829064296
1990-02-26,1.3071895424836601
1990-02-27,1.314924391847469
1990-02-28,1.3156163662675964
1990-03-01,1.309757694826457
1990-03-02,1.3164823591363874
1990-03-05,1.3183915622940015
1990-03-06,1.3138877939823939
1990-03-07,1.3164823591363874
1990-03-08,1.3145786775338504
1990-03-09,1.3145786775338504
1990-03-12,1.3192612137203166
1990-03-13,1.314060446780552
1990-03-14,1.309757694826457
1990-03-15,1.322226629644321
1990-03-16,1.326963906581741
1990-03-19,1.3246787653993906
1990-03-20,1.3218770654329148
1990-03-21,1.3297872340425532
1990-03-22,1.3326226012793179
1990-03-23,1.337971635001338
1990-03-26,1.3388673182487616
1990-03-27,1.3419216317767042
1990-03-28,1.3385089010841922
1990-03-29,1.3292569453675396
1990-03-30,1.3248542660307365
1990-04-02,1.3225763787858749
1990-04-03,1.314924391847469
1990-04-04,1.3039509714434736
1990-04-05,1.3071895424836601
1990-04-06,1.3071895424836601
1990-04-09,1.310615989515072
1990-04-10,1.3083867591259977
1990-04-11,1.3049719431032234
1990-04-12,1.3049719431032234
1990-04-13,1.3071895424836601
1990-04-16,1.3065064018813692
1990-04-17,1.3066771200836274
1990-04-18,1.2987012987012987
1990-04-19,1.2933264355923435
1990-04-20,1.2978585334198574
1990-04-23,1.3063357282821686
1990-04-24,1.3049719431032234
1990-04-25,1.3054830287206267
1990-04-26,1.3227513227513228
1990-04-27,1.332800213248034
1990-04-30,1.3333333333333333
1990-05-01,1.341021858656296
1990-05-02,1.3297872340425532
1990-05-03,1.3241525423728815
1990-05-04,1.3252054068380599
1990-05-07,1.3218770654329148
1990-05-08,1.3197835554968984
1990-05-09,1.3183915622940015
1990-05-10,1.3180440226703571
1990-05-11,1.3157894736842106
1990-05-14,1.3039509714434736
1990-05-15,1.3080444735120995
1990-05-16,1.3114754098360657
1990-05-17,1.3128528291978467
1990-05-18,1.314924391847469
1990-05-21,1.3089005235602094
1990-05-22,1.3089005235602094
1990-05-23,1.3066771200836274
1990-05-24,1.3118194936376755
1990-05-25,1.3041210224308815
1990-05-28,
1990-05-29,1.3054830287206267
1990-05-30,1.2953367875647668
1990-05-31,1.3024225058609011
1990-06-01,1.2998830105290524
1990-06-04,1.302761855132882
1990-06-05,1.297016861219196
1990-06-06,1.2956724540036277
1990-06-07,1.2861736334405145
1990-06-08,1.2944983818770228
1990-06-11,1.2901561088891755
1990-06-12,1.2919896640826873
1990-06-13,1.2914890869172155
1990-06-14,1.2903225806451613
1990-06-15,1.289324394017535
1990-06-18,1.2833675564681726
1990-06-19,1.2755102040816326
1990-06-20,1.276650070215754
1990-06-21,1.2656625743576762
1990-06-22,1.273560876209883
1990-06-25,1.2737230925996688
1990-06-26,1.2745347947998982
1990-06-27,1.2698412698412698
1990-06-28,1.2733987011333248
1990-06-29,1.2632642748863063
1990-07-02,1.2556504269211453
1990-07-03,1.254075746175069
1990-07-04,
1990-07-05,1.2515644555694618
1990-07-06,1.254075746175069
1990-07-09,1.2461059190031152
1990-07-10,1.239771881973717
1990-07-11,1.2554927809165097
1990-07-12,1.2637432073802604
1990-07-13,1.2813941568426448
1990-07-16,1.2795905310300704
1990-07-17,1.2659830358273199
1990-07-18,1.2634238787113077
1990-07-19,1.278935925310142
1990-07-20,1.2758356723653992
1990-07-23,1.2756729174639623
1990-07-24,1.2725884448969202
1990-07-25,1.272426517368622
1990-07-26,1.2833675564681726
1990-07-27,1.2663036596175763
1990-07-30,1.2632642748863063
1990-07-31,1.2597631645250693
1990-08-01,1.2594458438287153
1990-08-02,1.272426517368622
1990-08-03,1.2738853503184713
1990-08-06,1.2658227848101264
1990-08-07,1.2618296529968454
1990-08-08,1.257387149503332
1990-08-09,1.2512512512512513
1990-08-10,1.253604111821487
1990-08-13,1.2461059190031152
1990-08-14,1.2405408758218583
1990-08-15,1.2390038409119069
1990-08-16,1.2430080795525171
1990-08-17,1.2391573729863692
1990-08-20,1.2376237623762376
1990-08-21,1.2251899044351875
1990-08-22,1.218769043266301
1990-08-23,1.2058362474375979
1990-08-24,1.2004801920768309
1990-08-27,1.2032246420406691
1990-08-28,1.2045290291496025
1990-08-29,1.2012012012012012
1990-08-30,1.2242899118511263
1990-08-31,1.2254901960784315
1990-09-03,
1990-09-04,1.2274456855284155
1990-09-05,1.2080212611741967
1990-09-06,1.2140342357654486
1990-09-07,1.2183235867446394
1990-09-10,1.2310722639418934
1990-09-11,1.2239902080783354
1990-09-12,1.2214486380847687
1990-09-13,1.218026796589525
1990-09-14,1.20962864400629
1990-09-17,1.2025012025012025
1990-09-18,1.1997600479904018
1990-09-19,1.2061271257990593
1990-09-20,1.2097749818533752
1990-09-21,1.2065637065637065
1990-09-24,1.2026458208057726
1990-09-25,1.2043839576056847
1990-09-26,1.203369434416366
1990-09-27,1.20962864400629
1990-09-28,1.21153380179307
1990-10-01,1.2032246420406691
1990-10-02,1.2051096649795132
1990-10-03,1.2019230769230769
1990-10-04,1.2004801920768309
1990-10-05,1.1974613818704347
1990-10-08,
1990-10-09,1.1994722322178242
1990-10-10,1.2099213551119177
1990-10-11,1.2285012285012287
1990-10-12,1.2220457045093487
1990-10-15,1.2677484787018256
1990-10-16,1.2706480304955527
1990-10-17,1.2861736334405145
1990-10-18,1.3003901170351104
1990-10-19,1.278772378516624
1990-10-22,1.278772378516624
1990-10-23,1.2853470437017995
1990-10-24,1.2813941568426448
1990-10-25,1.276650070215754
1990-10-26,1.2800819252432156
1990-10-29,1.2763241863433312
1990-10-30,1.2786088735455823
1990-10-31,1.27420998980632
1990-11-01,1.2759984688018375
1990-11-02,1.2878300064391501
1990-11-05,1.278772378516624
1990-11-06,1.2706480304955527
1990-11-07,1.2845215157353886
1990-11-08,1.2851818532322323
1990-11-09,1.2830382345393894
1990-11-12,
1990-11-13,1.2944983818770228
1990-11-14,1.2975217334890359
1990-11-15,1.2953367875647668
1990-11-16,1.2995451591942822
1990-11-19,1.309757694826457
1990-11-20,1.3066771200836274
1990-11-21,1.309757694826457
1990-11-22,
1990-11-23,1.3058239749281797
1990-11-26,1.3049719431032234
1990-11-27,1.3014055179593962
1990-11-28,1.300221037576388
1990-11-29,1.295001295001295
1990-11-30,1.2919896640826873
1990-12-03,1.2873326467559216
1990-12-04,1.2865045670912132
1990-12-05,1.3000520020800832
1990-12-06,1.2987012987012987
1990-12-07,1.292824822236587
1990-12-10,1.3042911177774879
1990-12-11,1.3025921583952065
1990-12-12,1.3054830287206267
1990-12-13,1.3190871916633689
1990-12-14,1.3029315960912053
1990-12-17,1.3054830287206267
1990-12-18,1.2985326580963512
1990-12-19,1.297016861219196
1990-12-20,1.2929919834497026
1990-12-21,1.2936610608020698
1990-12-24,1.2919896640826873
1990-12-25,
1990-12-26,1.2919896640826873
1990-12-27,1.3029315960912053
1990-12-28,1.2987012987012987
1990-12-31,1.2953367875647668
1991-01-01,
1991-01-02,1.292824822236587
1991-01-03,1.2846865364850977
1991-01-04,1.2832028743744386
1991-01-07,1.2861736334405145
1991-01-08,1.2845215157353886
1991-01-09,1.2939958592132506
1991-01-10,1.29315918789603
