Date,Open,High,Low,Close,Volume
1983-01-03,45.38,45.38,45.38,45.38
1983-01-04,45.15,45.15,45.15,45.15
1983-01-05,46.74,46.74,46.74,46.74
1983-01-06,47.26,47.26,47.26,47.26
1983-01-07,47.9,47.9,47.9,47.9
1983-01-10,48.52,48.52,48.52,48.52
1983-01-11,48.67,48.67,48.67,48.67
1983-01-12,48.33,48.33,48.33,48.33
1983-01-13,48.66,48.66,48.66,48.66
1983-01-14,47.93,47.93,47.93,47.93
1983-01-17,48.08,48.08,48.08,48.08
1983-01-18,47.27,47.27,47.27,47.27
1983-01-19,47.21,47.21,47.21,47.21
1983-01-20,47.37,47.37,47.37,47.37
1983-01-21,47.67,47.67,47.67,47.67
1983-01-24,46.06,46.06,46.06,46.06
1983-01-25,46.8,46.8,46.8,46.8
1983-01-26,47.28,47.28,47.28,47.28
1983-01-27,46.89,46.89,46.89,46.89
1983-01-28,48.18,48.18,48.18,48.18
1983-01-31,48.37,48.37,48.37,48.37
1983-02-01,48.07,48.07,48.07,48.07
1983-02-02,47.52,47.52,47.52,47.52
1983-02-03,47.82,47.82,47.82,47.82
1983-02-04,47.84,47.84,47.84,47.84
1983-02-07,48.13,48.13,48.13,48.13
1983-02-08,48.47,48.47,48.47,48.47
1983-02-09,48.6,48.6,48.6,48.6
1983-02-10,48.83,48.83,48.83,48.83
1983-02-11,49.76,49.76,49.76,49.76
1983-02-14,49.86,49.86,49.86,49.86
1983-02-15,50.89,50.89,50.89,50.89
1983-02-16,51.79,51.79,51.79,51.79
1983-02-17,51.12,51.12,51.12,51.12
1983-02-18,50.92,50.92,50.92,50.92
1983-02-21,51.02,51.02,51.02,51.02
1983-02-22,51.09,51.09,51.09,51.09
1983-02-23,50.99,50.99,50.99,50.99
1983-02-24,51.29,51.29,51.29,51.29
1983-02-25,51.34,51.34,51.34,51.34
1983-02-28,51.26,51.26,51.26,51.26
1983-03-01,51.61,51.61,51.61,51.61
1983-03-02,52.81,52.81,52.81,52.81
1983-03-03,53.56,53.56,53.56,53.56
1983-03-04,54.53,54.53,54.53,54.53
1983-03-07,55.77,55.77,55.77,55.77
1983-03-08,55.43,55.43,55.43,55.43
1983-03-09,55.01,55.01,55.01,55.01
1983-03-10,55.93,55.93,55.93,55.93
1983-03-11,55.33,55.33,55.33,55.33
1983-03-14,55.57,55.57,55.57,55.57
1983-03-15,55.23,55.23,55.23,55.23
1983-03-16,55.84,55.84,55.84,55.84
1983-03-17,55.82,55.82,55.82,55.82
1983-03-18,56.06,56.06,56.06,56.06
1983-03-21,55.54,55.54,55.54,55.54
1983-03-22,56.55,56.55,56.55,56.55
1983-03-23,56.85,56.85,56.85,56.85
1983-03-24,58.56,58.56,58.56,58.56
1983-03-25,59.25,59.25,59.25,59.25
1983-03-28,59.38,59.38,59.38,59.38
1983-03-29,59.03,59.03,59.03,59.03
1983-03-30,58.75,58.75,58.75,58.75
1983-03-31,60.24,60.24,60.24,60.24
1983-04-05,60.02,60.02,60.02,60.02
1983-04-06,60.05,60.05,60.05,60.05
1983-04-07,59.82,59.82,59.82,59.82
1983-04-08,59.94,59.94,59.94,59.94
1983-04-11,60.92,60.92,60.92,60.92
1983-04-12,61.71,61.71,61.71,61.71
1983-04-13,60.47,60.47,60.47,60.47
1983-04-14,59.49,59.49,59.49,59.49
1983-04-15,60.44,60.44,60.44,60.44
1983-04-18,60.48,60.48,60.48,60.48
